name,title,coords
Castle of Port Jody,Достопримечательность,"7.8322, -69.7127"
Park of Wardville,Пляж,"36.3721, 121.3968"
Square of Starkchester,Beach,"24.4214, -65.7426"
Площадь с. Аршан (Бурят.),Mountain Peak,"-41.1288, -56.017"
Park of New Meganmouth,Достопримечательность,"54.5486, 61.1754"
Парк г. Осташков,Famous Intersection,"23.7357, 41.6332"
Museum of Jenkinstown,Музей,"-19.4178, -160.4823"
Bridge of Cookebury,Природный объект,"-54.2285, 104.3166"
Museum of West Georgeside,Исторический район,"10.953, 128.3152"
Castle of Michaelton,Пляж,"50.8627, 48.5812"
Square of South Ryan,Музей,"-34.7273, 108.8685"
Площадь п. Шахты,Парк,"-50.976, -56.4568"
Гора клх Бийск,Парк,"16.1821, -68.8271"
Castle of Lake Deborah,Достопримечательность,"-3.4213, -124.787"
Парк д. Калач,Горнолыжный курорт,"62.9748, 166.7464"
Museum of Angelaville,Пляж,"60.7118, -144.0814"
Lake of South Norman,Landmark,"-47.6014, 117.9839"
Озеро к. Новороссийка,Museum,"-40.3744, 164.2182"
Museum of Justinport,Храм,"14.2728, 25.0528"
Озеро д. Нижневартовск,Mountain Peak,"12.7365, -152.6283"
Музей г. Терней,Beach,"-67.8779, 128.6134"
Castle of Zacharyport,Храм,"42.1922, 54.4237"
Озеро клх Грозный,Landmark,"50.0634, -57.1691"
Парк д. Верхнее Пенжино,Museum,"60.5557, 42.3492"
Площадь с. Пушкинские Горы,Mountain Peak,"14.1835, 113.4106"
Square of New Jennifer,Historic Site,"14.6067, -98.024"
Парк п. Жиганск,Mountain Peak,"58.1818, 85.8152"
Площадь г. Касимов,Храм,"54.9042, 33.4892"
Castle of Martinezton,Historic Site,"26.2541, -158.0716"
Museum of North Crystalbury,Пляж,"-64.3351, -17.2296"
Bridge of North Jennifer,Парк,"34.4091, 149.4493"
Museum of West Jesseshire,Landmark,"-22.0829, 121.194"
Square of East Tammybury,Mountain Peak,"-69.2905, 85.7656"
Парк д. Прохладный,Historic Site,"-6.1687, 64.7621"
Парк клх Великие Луки,Nature Reserve,"10.2286, -56.65"
Гора ст. Дмитров,Public Park,"-19.0313, 43.8598"
Площадь д. Канск,Достопримечательность,"-35.313, 13.3807"
Гора д. Пермь,Храм,"-26.2363, 98.5906"
Lake of Jimenezview,Museum,"29.177, -157.9872"
Square of East Robert,Famous Intersection,"-41.1584, -96.351"
Park of Brandyshire,Пляж,"-46.7897, -148.9704"
Museum of Bartlettberg,Landmark,"20.9435, -89.2203"
Square of Lake Ashley,Парк,"7.8112, -50.4155"
Bridge of West Stephen,Nature Reserve,"52.0531, 90.8299"
Castle of Kevinchester,Historic Site,"-43.55, -7.8517"
Museum of North Andrewton,Famous Intersection,"-65.5769, -108.8859"
Bridge of Lauramouth,Mountain Peak,"61.9886, -67.8471"
Гора г. Лабытнанги,Парк,"27.8713, -92.0337"
Замок п. Юровск,Landmark,"-17.9422, 10.9754"
Museum of North Katherine,Пляж,"-22.4259, 80.0959"
Bridge of Lake Nancy,Mountain Peak,"-23.1238, -94.9588"
Castle of North Kimberly,Landmark,"-22.5308, -32.676"
Park of West Matthew,Landmark,"67.2012, 129.1419"
Square of New Jamie,Парк,"-18.3167, 164.4357"
Park of Morsemouth,Горнолыжный курорт,"-67.3014, 26.3501"
Площадь д. Надым,Достопримечательность,"-59.9059, 150.8"
Lake of East Aaron,Пляж,"-55.7349, -118.6946"
Castle of South Josephbury,Достопримечательность,"-34.0546, 27.3723"
Озеро г. Шерегеш,Mountain Peak,"-64.6918, 101.2049"
Гора ст. Александровск-Сахалинский,Nature Reserve,"-30.4168, 132.3621"
Square of Washingtonburgh,Пляж,"54.2288, -2.7372"
Гора д. Котельнич,Исторический район,"31.7754, 114.592"
Museum of North Hannahside,Mountain Peak,"56.2911, -151.2162"
Square of Angelaland,Парк,"-19.517, 96.494"
Музей п. Ирбит,Famous Intersection,"-42.5711, -57.2812"
Museum of Port Nicolechester,Public Park,"15.8162, 146.8629"
Square of Lake Ginaborough,Исторический район,"32.5797, -15.6141"
Площадь клх Тосно,Исторический район,"-49.9661, -113.8882"
Square of Lynnshire,Музей,"-16.1886, -167.8623"
Bridge of South Davidmouth,Nature Reserve,"47.7234, -162.9885"
Park of Annaburgh,Beach,"6.1966, -10.9188"
Парк п. Назрань,Public Park,"-39.6268, 99.3032"
Museum of West Mariaberg,Исторический район,"-28.0288, 84.4268"
Bridge of South Ryanhaven,Пляж,"-9.5131, -24.3822"
Castle of Millerland,Достопримечательность,"-0.8578, 30.6415"
Парк с. Волгоград,Landmark,"-20.3347, -122.9567"
Park of Gailberg,Landmark,"-31.1885, 58.9755"
Площадь с. Осташков,Historic Site,"28.7345, 150.784"
Парк д. Новороссийка,Природный объект,"41.3519, 53.8111"
Park of Charleneville,Горнолыжный курорт,"-17.3812, 47.1146"
Castle of New Elizabethborough,Горнолыжный курорт,"12.2644, -85.7345"
Озеро с. Северо-Курильск,Парк,"-6.8921, 6.1728"
Park of Leefort,Museum,"59.9243, 168.5248"
Museum of South Lauraside,Природный объект,"-43.1495, -34.2368"
Bridge of West Jennifer,Природный объект,"48.428, -120.2141"
Square of Ashleyhaven,Пляж,"34.6932, 57.1211"
Park of Lake Brianborough,Mountain Peak,"41.4788, -80.969"
Square of New Michaelbury,Nature Reserve,"-29.3458, -92.1597"
Bridge of Pattersonfort,Храм,"-66.2144, 9.1076"
Музей д. Тольятти,Museum,"46.9746, -115.6366"
Park of New Wesleybury,Nature Reserve,"-59.5849, 39.0585"
Музей п. Поронайск,Природный объект,"-6.7183, 31.3403"
Lake of North Amyside,Nature Reserve,"-36.4846, -112.6233"
Museum of Lauraburgh,Достопримечательность,"41.5068, -0.2266"
Озеро клх Бузулук,Mountain Peak,"-39.9861, -38.2677"
Музей к. Усть-Илимск,Исторический район,"18.8294, -85.3623"
Castle of Port Kathytown,Горнолыжный курорт,"-43.4132, 145.0446"
Озеро г. Асино,Museum,"22.6645, 138.2642"
Park of East Madelinefurt,Famous Intersection,"52.405, 92.2379"
Square of Port Philipfort,Достопримечательность,"-31.7118, 56.2508"
Park of New Williamborough,Public Park,"66.5754, -6.9591"
Lake of Flemingborough,Museum,"31.1365, 73.8162"
Park of East Brendafort,Горнолыжный курорт,"17.1993, -130.2031"
Square of Lake Carolyntown,Природный объект,"-38.6078, -93.014"
Castle of New Kimberly,Достопримечательность,"18.7309, -65.1586"
Площадь д. Салават,Парк,"67.9824, 77.4624"
Lake of South Brandon,Природный объект,"-14.3646, -23.9312"
Гора клх Рыльск,Nature Reserve,"-8.6106, -43.758"
Park of South Robert,Достопримечательность,"-17.6619, 57.2533"
Музей с. Нарьян-Мар,Landmark,"-11.6046, 157.098"
Square of East Allisonland,Museum,"-4.5302, -6.4401"
Озеро п. Снежинск,Landmark,"-66.6184, -78.3728"
Музей г. Чехов,Mountain Peak,"5.8297, -45.3271"
Парк клх Армавир,Public Park,"-3.464, 33.8386"
Парк д. Ухта,Museum,"-36.499, -133.162"
Замок п. Арсеньев,Природный объект,"64.2731, 40.7847"
Square of Port Sara,Достопримечательность,"-58.5136, -84.9182"
Museum of Lake Susan,Достопримечательность,"22.4254, 32.7729"
Museum of East Raymond,Public Park,"65.194, -163.1617"
Square of New Davidberg,Historic Site,"-44.8261, -54.7197"
Bridge of Port Marvinmouth,Достопримечательность,"-40.897, 151.9085"
Museum of Williammouth,Парк,"-62.0656, -83.4214"
Park of Lake Roberthaven,Mountain Peak,"-20.2175, 77.1829"
Площадь ст. Усолье Сибирское,Горнолыжный курорт,"-2.6078, -125.2035"
Замок с. Ведено,Mountain Peak,"-13.6909, 65.9335"
Музей г. Североморск,Mountain Peak,"-29.4005, 126.2458"
Bridge of Ronaldside,Beach,"-1.081, 106.7047"
Castle of South Joville,Landmark,"35.5666, -85.2673"
Square of North Scott,Природный объект,"68.0322, 70.6343"
Гора г. Воронеж,Famous Intersection,"-6.9922, 140.993"
Гора п. Серебряные Пруды,Historic Site,"61.3187, -90.0272"
Museum of North Samantha,Mountain Peak,"26.9608, -19.8489"
Museum of Yvetteville,Public Park,"-51.4611, -56.852"
Гора п. Кяхта,Природный объект,"-53.0846, 39.1337"
Музей г. Корсаков,Парк,"10.6308, 141.0618"
Площадь ст. Катайск,Nature Reserve,"36.7909, -26.0857"
Парк ст. Саянск,Достопримечательность,"-36.0898, 5.9913"
Площадь ст. Курчатов,Nature Reserve,"15.8345, 43.8325"
Square of Robinsonbury,Historic Site,"19.1311, 80.115"
Музей д. Катайск,Музей,"28.9887, 91.9949"
Castle of Michaelside,Природный объект,"61.5105, 89.5126"
Bridge of Andersonhaven,Храм,"41.262, -132.7328"
Castle of West Connor,Достопримечательность,"53.2048, 34.7804"
Castle of Lake Katherinefort,Пляж,"7.9491, 32.4494"
Площадь к. Чайковский,Достопримечательность,"-51.4657, 136.0001"
Гора ст. Глазов,Исторический район,"-8.6036, 148.4713"
Музей д. Избербаш,Landmark,"-50.4144, -154.074"
Castle of East Sara,Nature Reserve,"46.0107, 5.8839"
Замок г. Валаам,Парк,"-3.8373, 21.9651"
Гора клх Томари,Достопримечательность,"-19.5743, 46.1273"
Square of New Brandonmouth,Пляж,"-24.2096, 91.3255"
Lake of Chavezhaven,Landmark,"-38.9632, 117.3279"
Museum of Aguirreside,Музей,"26.7597, -54.1775"
Музей п. Тында,Горнолыжный курорт,"-37.6437, 115.804"
Park of West Patrick,Nature Reserve,"-48.0328, -85.4197"
Музей г. Обоянь,Исторический район,"28.1615, -128.7603"
Museum of Chenmouth,Nature Reserve,"51.3165, 156.0069"
Park of New David,Nature Reserve,"39.2769, 48.628"
Museum of North Erinport,Historic Site,"-29.776, 153.77"
Museum of Jennytown,Природный объект,"-35.1594, -61.6093"
Museum of Gibsonland,Достопримечательность,"48.4347, 55.7813"
Park of Bennettstad,Nature Reserve,"-28.9808, 61.84"
Square of Paigestad,Достопримечательность,"68.9491, -136.2419"
Bridge of Kevintown,Достопримечательность,"46.0187, 88.8495"
Museum of East Sergioburgh,Горнолыжный курорт,"36.5195, -115.0324"
Park of New Meaganfurt,Historic Site,"13.4031, 95.2099"
Гора к. Лотошино,Museum,"33.4845, -88.9836"
Park of North William,Historic Site,"-18.9848, 21.7726"
Музей клх Саратов,Landmark,"16.6332, -19.3188"
Площадь с. Славгород,Храм,"3.9778, -161.297"
Square of Bryantshire,Парк,"-58.0086, 51.5126"
Castle of Lake Bradleyfurt,Nature Reserve,"-10.2305, -80.6757"
Музей клх Россошь,Природный объект,"39.2491, -64.9105"
Площадь с. Назрань,Исторический район,"49.0637, -3.3897"
Парк д. Колпашево,Beach,"60.4244, 119.1675"
Озеро п. Луховицы,Храм,"-40.2527, 59.7887"
Музей г. Челябинск,Public Park,"26.7676, -81.6799"
Park of Port Annville,Исторический район,"-4.9045, -35.2139"
Square of North Steven,Public Park,"41.8867, 36.521"
Square of Jessicatown,Музей,"57.993, 44.0488"
Озеро ст. Двинской,Парк,"6.224, -71.1048"
Square of Port Christian,Музей,"-36.6903, -53.3319"
Museum of West Michaelland,Public Park,"17.7775, 166.5938"
Bridge of New Donald,Beach,"6.1787, 146.7691"
Castle of Schultzfort,Природный объект,"-50.7018, -77.9868"
Park of Victorland,Famous Intersection,"-51.537, 103.1311"
Музей к. Новороссийка,Пляж,"29.2434, -97.148"
Музей п. Макушино,Природный объект,"-4.4964, -99.5936"
Museum of North Victoriafort,Famous Intersection,"22.6432, -93.1462"
Castle of Stevenville,Museum,"-52.2987, 120.6293"
Bridge of West Roberttown,Исторический район,"-41.4099, -103.17"
Замок ст. Луга,Mountain Peak,"-28.5275, -59.4677"
Museum of Lake Jeremy,Beach,"-55.3034, 15.0779"
Park of Justinmouth,Пляж,"3.9276, 33.8007"
Музей г. Витим,Достопримечательность,"-21.4137, -156.5514"
Площадь ст. Ямбург,Горнолыжный курорт,"34.7439, -14.4601"
Озеро клх Елатьма,Famous Intersection,"-32.1334, -16.6529"
Castle of North Briana,Beach,"-21.6868, 43.7839"
Парк к. Подольск,Природный объект,"52.3975, 112.5673"
Музей д. Любань,Пляж,"1.8438, 15.8753"
Bridge of Sarahfurt,Горнолыжный курорт,"-43.2033, 106.6227"
Музей клх Наро-Фоминск,Beach,"-47.2584, -147.0371"
Museum of East Leahborough,Mountain Peak,"-61.4443, 41.7178"
Озеро к. Токма,Mountain Peak,"-28.5257, -122.1975"
Bridge of Hahnport,Музей,"38.4587, 152.0162"
Замок ст. Ишим,Горнолыжный курорт,"44.0449, -26.557"
Park of Port Melissa,Public Park,"47.0036, 37.1418"
Lake of Pamelashire,Nature Reserve,"-55.7246, -153.0629"
Lake of Lake Kristine,Пляж,"-41.168, 41.2865"
Museum of Jonesville,Beach,"16.6173, -88.275"
Castle of North Brittanyburgh,Public Park,"18.4277, -58.2788"
Музей г. Горячий Ключ,Исторический район,"-32.0765, -162.2771"
Парк к. Люберцы,Храм,"-35.2867, -57.1962"
Castle of New Sandramouth,Природный объект,"-26.2576, -159.4767"
Lake of Georgeside,Beach,"64.285, 15.3245"
Museum of East Janice,Famous Intersection,"-33.3028, 77.8647"
Museum of Amyside,Mountain Peak,"29.1108, -144.9277"
Lake of Charleschester,Famous Intersection,"-1.2483, -73.8994"
Park of Courtneystad,Горнолыжный курорт,"62.9943, 108.3149"
Гора г. Чайковский,Famous Intersection,"-21.1036, -148.6213"
Park of Port Mackenzie,Public Park,"-69.2782, 0.9286"
Замок д. Абинск,Nature Reserve,"-38.9513, 154.3478"
Museum of New Rachel,Beach,"-16.1901, -58.5446"
Музей п. Великий Устюг,Landmark,"-56.8745, 1.693"
Castle of Chelseaton,Beach,"12.2164, 70.4209"
Гора с. Раменское,Пляж,"36.2149, 79.5871"
Bridge of Garyview,Beach,"-20.27, -62.9663"
Bridge of Vasquezmouth,Достопримечательность,"19.6169, -137.6977"
Lake of Smithtown,Парк,"-10.1711, -162.3791"
Park of Sonyaborough,Горнолыжный курорт,"10.083, -31.8996"
Park of Garrettton,Famous Intersection,"64.0391, -121.7137"
Bridge of North Zacharychester,Beach,"7.5387, 41.4469"
Парк п. Макушино,Beach,"-68.2372, -29.8993"
Museum of Cookfort,Храм,"58.066, 146.0179"
Гора с. Чусовой,Mountain Peak,"53.4894, 28.8668"
Lake of Sarahborough,Public Park,"23.7074, -43.4602"
Square of Coryside,Museum,"-45.2826, 39.8904"
Озеро клх Черкесск,Горнолыжный курорт,"-0.7682, 33.916"
Museum of South Robert,Public Park,"13.3044, 15.8418"
Square of West Amber,Nature Reserve,"48.5966, 128.4224"
Lake of West Davidstad,Landmark,"36.7228, -2.0871"
Bridge of Jasminechester,Парк,"-57.9148, -82.8407"
Музей с. Красноуральск,Historic Site,"61.0556, -64.2024"
Озеро к. Старая Русса,Парк,"21.2503, 130.1674"
Museum of Lake Rachael,Nature Reserve,"61.6129, -75.1665"
